,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Podlaží,Užitná plocha,Plocha podlahová,Balkón,Parkování,Garáž,Voda,Topení,Plyn,Odpad,Telekomunikace,Elektřina,Energetická náročnost budovy,Bezbariérový,Výtah,Index,Zlevněno,Původní cena,Sklep,Umístění objektu,Rok kolaudace,Doprava,Komunikace,Ukazatel energetické náročnosti budovy,Vybavení,Terasa,Lodžie,Náklady na bydlení,Datum nastěhování,Plocha zahrady,ID,Převod do OV,Rok rekonstrukce,Stav,Plocha zastavěná,Datum ukončení výstavby,Datum zahájení prodeje,Datum prohlídky,Typ bytu,Průkaz energetické náročnosti budovy,Cena,Výška stropu
0,"Budilova, Praha 8 - Libeň",8 700 000 Kč za nemovitost,včetně provize,00697,11.10.2022,Smíšená,Novostavba,Osobní,6. podlaží,68 m2,58 m2,9 m2,1,1,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,Internet,230V,Třída G - Mimořádně nehospodárná,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Pod Rapidem, Praha 10 - Strašnice",,"včetně provize, cena k jednání",00699,11.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží,110 m2,110 m2,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,2,11 750 000 Kč za nemovitost (k jednání),12 790 000 Kč,8 m2,,,,,,,,,,,,,,,,,,,,,,,
2,"Paťanka, Praha 6 - Dejvice",12 900 000 Kč za nemovitost,včetně právního servisu,00698,11.10.2022,Skeletová,Velmi dobrý,Osobní,2. podlaží z celkem 6,107 m2,85 m2,22 m2,,1,Dálkový vodovod,Ústřední dálkové,,,"Internet, Kabelová televize",230V,Třída G - Mimořádně nehospodárná,,1,3,,,4 m2,Klidná část obce,2005,"Vlak, Silnice, MHD",Dlážděná,,,,,,,,,,,,,,,,,,,
3,"Veverkova, Praha 7 - Holešovice",10 090 000 Kč za nemovitost,včetně provize,00715,11.10.2022,Cihlová,Velmi dobrý,Osobní,4. podlaží,56 m2,56 m2,1,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,Internet,"230V, 400V",Třída G - Mimořádně nehospodárná,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Honzíkova, Praha 10 - Dolní Měcholupy",4 500 000 Kč za nemovitost,,00705,11.10.2022,Cihlová,Velmi dobrý,Družstevní,6. podlaží,33 m2,28 m2,,,,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,"Internet, Kabelová televize",230V,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,5,,,,,2020,"Silnice, MHD",Asfaltová,"77,0 kWh/m^2 za rok",1,,,,,,,,,,,,,,,,,
5,"Kakosova, Praha 5 - Řeporyje",12 250 000 Kč za nemovitost,"včetně poplatků, včetně provize",00708,11.10.2022,Cihlová,Novostavba,Osobní,3. podlaží,115 m2,72 m2,12 m2,1,1,Dálkový vodovod,Ústřední dálkové,,Veřejná kanalizace,Internet,"230V, 400V",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,6,,,3 m2,,2017,MHD,Betonová,"70,0 kWh/m^2 za rok",,31 m2,,,,,,,,,,,,,,,,
6,"Vokovická, Praha 6 - Vokovice",5 190 000 Kč za nemovitost,,00712,11.10.2022,Panelová,Velmi dobrý,Osobní,8. podlaží z celkem 12,46 m2,44 m2,,,,Dálkový vodovod,Ústřední dálkové,Plynovod,,"Internet, Kabelová televize","230V, 400V",Třída G - Mimořádně nehospodárná,,1,7,,,1,,,MHD,,,Částečně,,1,,,,,,,,,,,,,,,
7,"Dandova, Praha 9 - Horní Počernice",6 750 000 Kč za nemovitost,včetně provize,00713-1,11.10.2022,Cihlová,Velmi dobrý,Osobní,3. podlaží,60 m2,59 m2,1 m2,1,1,Dálkový vodovod,Ústřední plynové,,Veřejná kanalizace,"Internet, Kabelová televize","230V, 400V",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,0,8,,,1 m2,,2006,"Silnice, MHD",,"93,0 kWh/m^2 za rok",1,,,,,,,,,,,,,,,,,
8,"Na vinobraní, Praha 10 - Záběhlice",,+ provize RK,00719,11.10.2022,Panelová,Velmi dobrý,Osobní,5. podlaží,47 m2,40 m2,,1,1,Dálkový vodovod,Ústřední plynové,Plynovod,,"Internet, Kabelová televize","230V, 400V",Třída G - Mimořádně nehospodárná,1,1,9,5 650 000 Kč za nemovitost,6 450 000 Kč,7 m2,,,MHD,Betonová,,Částečně,,3 m2,,,,,,,,,,,,,,,
9,"Lačnovská, Praha 5 - Zličín",6 943 000 Kč za nemovitost,,LK143657,Včera,Smíšená,Novostavba,Osobní,3. podlaží z celkem 3,60 m2,60 m2,,1,,Dálkový vodovod,,,Veřejná kanalizace,,"230V, 400V",Třída B - Velmi úsporná,,0,10,,,4 m2,Klidná část obce,2023,,,,,,3 m2,,,,,,,,,,,,,,,
10,"Pod Lipami, Praha 3 - Žižkov",4 890 000 Kč za nemovitost,"majitel si vyhrazuje právo volby nevýhodnější nabídky., včetně provize, včetně právního servisu",14421533,11.10.2022,Smíšená,Dobrý,Osobní,5. podlaží,45 m2,37 m2,6 m2,1,,,Ústřední dálkové,Plynovod,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná,,1,11,,,,Klidná část obce,,"Silnice, MHD",,,0,,,,,,,,,,,,,,,,,
11,"Ciolkovského, Praha 6 - Ruzyně",5 150 000 Kč za nemovitost,"včetně provize, právního a finančního servisu",626,Dnes,Panelová,Po rekonstrukci,Osobní,8. podlaží z celkem 13,48 m2,,,,,,,,,"Telefon, Internet",230V,Třída B - Velmi úsporná,1,1,12,,,1,Klidná část obce,,"Vlak, Dálnice, MHD, Autobus",,,,,,"Veškeré poplatky a energie 4.100,- Kč",01.11.2022,,,,,,,,,,,,,
12,"Na Pískách, Praha 6 - Dejvice",7 990 000 Kč za nemovitost,včetně právního a finančního servisu,627,Dnes,Cihlová,Po rekonstrukci,Osobní,3. podlaží z celkem 3,64 m2,,,,,,Ústřední plynové,Plynovod,,,230V,Třída B - Velmi úsporná,,0,13,,,1,Klidná část obce,,"Vlak, Dálnice, MHD, Autobus",,,,17 m2,,,Ihned,,,,,,,,,,,,,
13,"Družstevní, Zlín",2 350 000 Kč za nemovitost,,3380,11.10.2022,Panelová,Velmi dobrý,Osobní,2. podlaží z celkem 4,31 m2,,,1,,,,,,,,Třída G - Mimořádně nehospodárná,,,14,,,1 m2,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,
14,"V Třešňovce, Praha 9 - Hrdlořezy",16 789 000 Kč za nemovitost,"Poplatek do FO 1262,- Kč",N560,Dnes,Smíšená,Novostavba,Osobní,1. podlaží z celkem 6 včetně 1 podzemního,258 m2,84 m2,8 m2,1,1,"Místní zdroj, Dálkový vodovod",,,,"Telefon, Internet, Satelit, Kabelová televize",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,1,1,15,,,3 m2,Klidná část obce,,"Vlak, Dálnice, Silnice, MHD, Autobus",,,Částečně,10 m2,,,,154 m2,,,,,,,,,,,,
15,"Šimáčkova, Praha - Holešovice",3 990 000 Kč za nemovitost,,,Včera,Cihlová,Dobrý,Družstevní,4. podlaží z celkem 5,35 m2,35 m2,1,,,Dálkový vodovod,Lokální plynové,Individuální,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná,0,1,16,,,,Centrum obce,,MHD,,,Částečně,,,,31.10.2022,,2425763660,Ne,,,,,,,,,,
16,"Liberec - Liberec I-Staré Město, okres Liberec",6 990 000 Kč za nemovitost,,554,Včera,Cihlová,Velmi dobrý,Osobní,1. podlaží,85 m2,,,2,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,,230V,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,0,17,,,,Klidná část obce,,"Silnice, MHD",Asfaltová,,,1,,,,,,,,,,,,,,,,
17,"Karlovská, Dolní Kounice",4 188 975 Kč za nemovitost,"včetně provize, včetně právního servisu",14421726,11.10.2022,Cihlová,Dobrý,Družstevní,4. podlaží z celkem 4,62 m2,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,0,18,,,,,,,,,Částečně,,,,,,,Ne,,,,,,,,,,
18,"Křižíkova, Praha 8 - Karlín",5 800 000 Kč za nemovitost,,01212,Včera,Cihlová,Velmi dobrý,Osobní,6. podlaží,36 m2,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,19,,,,,,,,,,3 m2,,,,,,,,,,,,,,,,
19,"Křižíkova, Praha 8 - Karlín",6 500 000 Kč za nemovitost,,01217,Včera,Cihlová,Velmi dobrý,Osobní,4. podlaží,37 m2,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Křižíkova, Praha - Praha 8",,,01211,Včera,Cihlová,Velmi dobrý,Osobní,2. podlaží z celkem 3,38 m2,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,0,21,5 800 000 Kč za nemovitost,6 099 000 Kč,,,,,,,Částečně,,,,,,,,,,,,,,,,,
21,"Nádražní, Praha - Praha 5",8 656 054 Kč za nemovitost,,LIHVR-221,Včera,Smíšená,Ve výstavbě,Osobní,2. podlaží,46 m2,49 m2,1,,,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,1,22,,,,,2023,,,"67,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,
