,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání
742,https://www.sreality.cz/detail/prodej/dum/chata/ulice-hracholusky-/1792132940,"Úlice - Hracholusky, okres Plzeň-sever",plzen-sever,"chaty
",1 200 000 Kč za nemovitost,05.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,,48.0,45,,48.0,,,,,Lokální tuhá paliva,,,,,,,1,Bidli,2311.625,772,Nothing,,,Polosamota,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7817576,13.1614932,1200000,,,,,
4206,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/velesin--/338343756,"Velešín, okres Český Krumlov",cesky-krumlov,"zemedelske-usedlosti
",1 650 000 Kč za nemovitost (k jednání),24.08.2022,Smíšená,Před rekonstrukcí,,Patrový,2,238.0,238,238.0,1137.0,,,Ihned,,,,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,HVB Real Estate,1225.571428571429,4404,"Cena včetně provize, advokátní úschovy a právních služeb.",400V,,Okraj obce,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8292557,14.4635063,1650000,True,,,,
5486,https://www.sreality.cz/detail/prodej/dum/rodinny/hradec-kralove-malsovice-nahon/4069451340,"Náhon, Hradec Králové - Malšovice",hradec-kralove,"rodinne-domy
",14 990 000 Kč za nemovitost,17.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,2,143.0,202,202.0,869.0,,,,"Místní zdroj, Dálkový vodovod","Lokální tuhá paliva, Ústřední plynové, Ústřední elektrické",Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,iRealitka.cz,617.3157894736842,5741,Včetně provize a právního servisu.,"230V, 400V",,Klidná část obce,1.0,,,0.0,,,"Telefon, Internet, Satelit, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,50.20238,15.8694196,14990000,True,True,,,
4833,https://www.sreality.cz/detail/prodej/dum/undefined/veseli-nad-luznici-veseli-nad-luznici-ii-manesova/971183948,"Mánesova, Veselí nad Lužnicí - Veselí nad Lužnicí II",tabor,"vicegeneracni-domy
",6 600 000 Kč za nemovitost,20.10.2022,Cihlová,Velmi dobrý,Řadový,Patrový,2,162.0,222,,399.0,,1,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná,,,Dům realit - A TEMPO,476.3571428571428,5052,Cena je včetně provize RK a právního servisu. Více informací Vám poskytne RK dumrealit.cz - A TEMPO,230V,,Klidná část obce,3.0,1.0,,,,,"Telefon, Internet, Kabelová televize",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.1850101,14.7058168,6600000,True,True,,,
2010,https://www.sreality.cz/detail/prodej/dum/chalupa/zvestov--/3368363852,"Zvěstov, okres Benešov",benesov,"chalupy
",3 290 000 Kč za nemovitost,21.10.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,1,,65,,1323.0,,1,,,"Lokální tuhá paliva, Lokální elektrické",,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,3042.5454545454545,2106,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,230V,,Klidná část obce,2.0,1.0,2011.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6326652,14.7921231,3290000,,,,,
4622,https://www.sreality.cz/detail/prodej/dum/chalupa/strelske-hostice-strelske-hostice-/2373199692,"Střelské Hoštice, okres Strakonice",strakonice,"chalupy
",2 495 000 Kč za nemovitost,17.10.2022,Smíšená,Dobrý,Samostatný,Přízemní,1,,130,,413.0,,,,Dálkový vodovod,Lokální tuhá paliva,,"Veřejná kanalizace, ČOV pro celý objekt","Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,1805.571428571429,4834,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,2.0,1.0,,0.0,,,Telefon,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2975948,13.7559554,2495000,,,,,
941,https://www.sreality.cz/detail/prodej/dum/rodinny/osvracin-osvracin-/2905007948,"Osvračín, okres Domažlice",domazlice,"rodinne-domy
",3 850 000 Kč za nemovitost,20.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,,239,,1009.0,,,Ihned,Místní zdroj,Lokální plynové,,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,M&M reality,2341.3125,980,Včetně právního servisu. V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,4.0,1.0,1995.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5131628,13.0469255,3850000,,True,,,
4701,https://www.sreality.cz/detail/prodej/dum/rodinny/mlada-vozice-mlada-vozice-obrancu-miru/3913390940,"Obránců míru, Mladá Vožice",tabor,"rodinne-domy
",5 600 000 Kč za nemovitost,11.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2,324.0,480,488.0,1433.0,1109.0,,Ihned,Místní zdroj,Lokální plynové,Plynovod,"Veřejná kanalizace, Septik","Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,Finpos realitní kancelář,493.1428571428572,4916,Nothing,"230V, 400V",,Klidná část obce,20.0,1.0,,,,,"Telefon, Internet, Satelit",,,,,,,,,,,,,,,,,,,,,,,,,,,49.5266197,14.8118418,5600000,,,,,
2017,https://www.sreality.cz/detail/prodej/dum/chalupa/krecovice-policany-/1837918812,"Křečovice - Poličany, okres Benešov",benesov,"chalupy
",4 000 000 Kč za nemovitost,05.10.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,2 včetně 1 podzemního,73.0,122,,847.0,774.0,1,,Dálkový vodovod,Lokální tuhá paliva,,Jímka,Silnice,"Asfaltová, Neupravená",Třída G - Mimořádně nehospodárná,0.0,Částečně,Optimo.cz,2502.777777777778,2113,Včetně provize a právních služeb,230V,,Polosamota,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7363395,14.4276311,4000000,True,,,,
2783,https://www.sreality.cz/detail/prodej/dum/rodinny/chrastany-chotoun-/3148715852,"Chrášťany - Chotouň, okres Kolín",kolin,"rodinne-domy
",6 500 000 Kč za nemovitost (k jednání),07.10.2022,Cihlová,Před rekonstrukcí,,Přízemní,,112.0,100,,798.0,491.0,,,Studna,,,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",,,,,Realitní Centrála,2208.5,2913,vč právních služeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0671238,14.9564827,6500000,,,,,
