,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Housing costs,Discounted,Original price,Condition,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání,Built-up areaNan,Floor areaNan,Land areaNan,Garden areaNan,Year of reconstructionNan,Year of approvalNan
1805,https://www.sreality.cz/detail/prodej/dum/chalupa/dolni-poustevna-karlin-/527526236,"Dolní Poustevna - Karlín, okres Děčín",decin,"chalupy
",2 260 000 Kč za nemovitost,18.10.2022,Cihlová,Dobrý,Samostatný,Patrový,Missing,0.531842823012964,0.49041211147658387,0.5331315879193048,0.5149652145257946,0.5462226124648275,1,Ihned,Místní zdroj,Ústřední tuhá paliva,Plynovod,Jímka,Missing,Asfaltová,Třída G - Mimořádně nehospodárná,Missing,0,"Broker Consulting, a.s.",0.8149034557768797,1898,Nothing,230V,Missing,Missing,1.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,0,Missing,Missing,Missing,50.9948759,14.3009091,0.41716391667945363,Missing,Missing,Missing,Missing,Missing,1,1,0,1,1,1
2372,https://www.sreality.cz/detail/prodej/dum/rodinny/zlonice-brestany-/2734877020,"Zlonice - Břešťany, okres Kladno",kladno,"rodinne-domy
",5 995 000 Kč za nemovitost,07.10.2022,Cihlová,Po rekonstrukci,V bloku,Přízemní,Missing,0.531842823012964,0.4107263582330072,0.5331315879193048,0.43189705241718124,0.5462226124648275,Missing,Missing,"Dálkový vodovod, Studna",Missing,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",Missing,Třída G - Mimořádně nehospodárná,Missing,Částečně,CENTURY 21 FairTrade,0.7488267448073957,2481,Včetně realitního i právního servisu,"230V, 400V",Missing,Missing,2.0,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.2832828,14.1154321,0.5577497754448317,Missing,True,Missing,Missing,Missing,1,1,0,1,1,1
3986,https://www.sreality.cz/detail/prodej/dum/vila/praha-benice-k-pitkovicum/4034377292,"K Pitkovicům, Praha 10 - Benice",praha-10,"vily
",28 900 000 Kč za nemovitost,20.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,Missing,0.6361723036307825,0.5256477314111024,0.5331315879193048,0.5688880028494953,0.6703579963483205,Missing,Missing,"Místní zdroj, Dálkový vodovod",Lokální plynové,Individuální,Missing,"Vlak, Dálnice, Silnice, MHD, Autobus",Missing,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Missing,1,PRESTIGE GROUP - Realitní kancelář,0.7171829091497599,4169,"bez poplatků, včetně provize",Missing,"89,0 kWh/m^2 za rok",Missing,Missing,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.0124503,14.6012277,0.7844190714339456,True,Missing,Missing,Missing,Missing,0,1,0,0,1,1
2482,https://www.sreality.cz/detail/prodej/dum/rodinny/svarov-svarov-lipova/373339980,"Lipová, Svárov",kladno,"rodinne-domy
",24 950 000 Kč za nemovitost,07.10.2022,Cihlová,Velmi dobrý,Samostatný,Přízemní,2 včetně 1 podzemního,0.531842823012964,0.5327908793123876,0.5331315879193048,0.5659394676814681,0.5462226124648275,1,Missing,Dálkový vodovod,"Lokální tuhá paliva, Jiné",Missing,Veřejná kanalizace,"Silnice, MHD, Autobus",Missing,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,1.0,1,M&M reality,0.7736702051079745,2597,Cena včetně právního servisu a provize RK,"230V, 400V","98,0 kWh/m^2 za rok",Klidná část obce,4.0,1.0,0.7500160339225485,0.0,0.9493004902331208,Internet,Missing,Missing,Missing,Missing,Missing,Missing,50.0590744,14.1516135,0.7632398821343962,True,True,Missing,Missing,Missing,1,1,0,1,1,1
754,https://www.sreality.cz/detail/prodej/dum/chata/bdeneves-bdeneves-/853636684,"Bdeněves, okres Plzeň-sever",plzen-sever,"chaty
",1 650 000 Kč za nemovitost,09.08.2022,Smíšená,Velmi dobrý,Samostatný,Přízemní,1 včetně 1 podzemního,0.38725436333379165,0.33229993342707753,0.5331315879193048,0.3753558808466998,0.5462226124648275,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Realitní & vzdělávací agentura,0.7998374334774658,785,Nothing,Missing,Missing,Polosamota,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.7695307,13.2351805,0.37182914037383075,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
245,https://www.sreality.cz/detail/prodej/dum/rodinny/karlovy-vary-rybare-slepa/3167820,"Slepá, Karlovy Vary - Rybáře",karlovy-vary,"rodinne-domy
",9 900 000 Kč za nemovitost,16.08.2022,Smíšená,Dobrý,Samostatný,Patrový,3,0.6183213686761089,0.5808471692968225,0.6685471154055292,0.4211489950518149,0.5462226124648275,Missing,31.10.2022,Missing,Ústřední elektrické,Missing,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,Missing,Missing,Realitní kancelář Sedláček,0.4414904352388227,256,cena k jednání,Missing,Missing,Klidná část obce,Missing,1.0,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.2340954,12.8585186,0.6300354955757701,Missing,Missing,Missing,Missing,True,0,0,0,1,1,1
5157,https://www.sreality.cz/detail/prodej/dum/chalupa/jihlavka-jihlavka-/194759004,"Jihlávka, okres Jihlava",jihlava,"chalupy
",5 730 000 Kč za nemovitost,Dnes,Cihlová,Dobrý,Samostatný,Přízemní,1,0.6097893353647086,0.523255448439134,0.5331315879193048,0.6209913824946882,0.5462226124648275,Missing,Ihned,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Plynovod,Septik,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Missing,1,RE/MAX Stars,0.7769740488924046,5390,Nothing,230V,Missing,Polosamota,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.2611229,15.2924732,0.5512346287007617,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
1001,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/mutenin-mutenin-/3720898124,"Mutěnín, okres Domažlice",domazlice,"zemedelske-usedlosti
",16 800 000 Kč za nemovitost,21.10.2022,Cihlová,Dobrý,Missing,Přízemní,1,0.45127705443352234,0.45202217277182916,0.5331315879193048,0.8777026646006386,0.5462226124648275,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,MojePole.cz,0.8683828483266802,1041,Nothing,Missing,Missing,Missing,Missing,Missing,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.544745,12.744559,0.7062460123519068,Missing,Missing,Missing,Missing,Missing,0,1,0,1,1,1
1646,https://www.sreality.cz/detail/prodej/dum/rodinny/jilove-kamenna-vilova/2914383692,"Vilová, Jílové - Kamenná",decin,"rodinne-domy
",5 000 000 Kč za nemovitost,18.10.2022,Smíšená,Dobrý,Samostatný,Patrový,2 včetně 1 podzemního,0.5587570123815531,0.3826771393189437,0.5331315879193048,0.47151858127608604,0.5462226124648275,1,Ihned,Dálkový vodovod,"Lokální tuhá paliva, Ústřední plynové",Plynovod,Missing,"Vlak, Silnice, MHD, Autobus",Missing,Třída G - Mimořádně nehospodárná,Missing,Missing,Vesta realitní kancelář,0.617290275399268,1723,"včetně provize ( v případě více zájmu, si kupující vyhrazuje právo vybrat nejvýhodnější nabídku)",230V,Missing,Klidná část obce,2.0,1.0,0.7500160339225485,Missing,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,50.7709568,14.1134816,0.5315959731115267,True,Missing,Missing,Missing,Missing,0,1,0,1,1,1
4728,https://www.sreality.cz/detail/prodej/dum/rodinny/zalsi-zalsi-/311199308,"Zálší, okres Tábor",tabor,"rodinne-domy
",4 900 000 Kč za nemovitost,04.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,1,0.531842823012964,0.45052670389725563,0.5331315879193048,0.49038399710749014,0.567774460977017,1,Missing,Missing,Lokální elektrické,Missing,Septik,Silnice,Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,1,BYDLENÍČKO s.r.o.,0.8560742460432615,4943,Nothing,230V,Missing,Klidná část obce,Missing,Missing,0.7500160339225485,0.0,0.9493004902331208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,49.2179173,14.5991895,0.5286846072104354,Missing,Missing,Missing,Missing,Missing,1,1,0,0,1,1
