,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,location,district,HouseType,total price,Job ID,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,ID,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong
0,0,0,0,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-majakovskeho/1143850572,"Majakovského, Aš",cheb,"rodinne-domy
",4 800 000 Kč za nemovitost,1373,Včera,Cihlová,Dobrý,Řadový,Patrový,3,44 m2,180 m2,130 m2,180 m2,136 m2,1,Ihned,Dálkový vodovod,Lokální plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0.0,Částečně,TOP REALITY,466.73333333333335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2152174,12.1941903
1,1,1,1,https://www.sreality.cz/detail/prodej/dum/rodinny/luby-dolni-luby-/4147755356,"Luby - Dolní Luby, okres Cheb",cheb,"rodinne-domy
",4 990 000 Kč za nemovitost,00219,Včera,Cihlová,Velmi dobrý,Samostatný,Patrový,,117 m2,158 m2,,1401 m2,,1,,"Místní zdroj, Studna",Lokální tuhá paliva,Individuální,Jímka,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,WOW reality,1775.0,1,"včetně provize, včetně právního servisu","230V, 400V","58,4 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2398432,12.4141533
2,2,2,2,https://www.sreality.cz/detail/prodej/dum/rodinny/ovesne-kladruby-ovesne-kladruby-/275785548,"Ovesné Kladruby, okres Cheb",cheb,"rodinne-domy
",1 199 000 Kč za nemovitost,00522,21.10.2022,Cihlová,Před rekonstrukcí,Řadový,Patrový,2,87 m2,225 m2,160 m2,785 m2,633 m2,,,Studna,Lokální tuhá paliva,,Septik,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,Personal Reality s.r.o,2313.0,2,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",400V,,Klidná část obce,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.953,12.7790915
3,3,3,3,https://www.sreality.cz/detail/prodej/dum/rodinny/luby-luby-petra-bezruce/2112174940,"Petra Bezruče, Luby",cheb,"rodinne-domy
",7 400 000 Kč za nemovitost,00473,21.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,3 včetně 1 podzemního,,341 m2,,381 m2,260 m2,1,,Dálkový vodovod,"Lokální plynové, Ústřední plynové",Plynovod,Veřejná kanalizace,"Vlak, Dálnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,Znalecká a poradenská kancelář s.r.o.,763.5384615384615,3,"Garantujeme roční výnos 600.000, - Kč",230V,,Okraj obce,1.0,,2022.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.250134,12.4078522
4,4,4,4,https://www.sreality.cz/detail/prodej/dum/rodinny/dolni-zandov-uboci-/3171592012,"Dolní Žandov - Úbočí, okres Cheb",cheb,"rodinne-domy
",6 900 000 Kč za nemovitost (k jednání),N10052,20.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,650 m2,180 m2,180 m2,1893 m2,,1,,Místní zdroj,"Ústřední tuhá paliva, Ústřední elektrické",,Jímka,Autobus,,Třída G - Mimořádně nehospodárná,,,iRealitka.cz,1976.0,4,Včetně provize a právního servisu. Cena k jednání.,"230V, 400V",,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0192045,12.5495195
5,5,5,5,https://www.sreality.cz/detail/prodej/dum/rodinny/liba-liba-/2559104588,"Libá, okres Cheb",cheb,"rodinne-domy
",3 638 000 Kč za nemovitost,992/RZ/8,21.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,3,76 m2,245 m2,,610 m2,396 m2,,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Finpos realitní kancelář s.r.o.,2216.4166666666665,5,,"230V, 400V",,Klidná část obce,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.12453735,12.223342127910534
6,6,6,6,https://www.sreality.cz/detail/prodej/dum/rodinny/krasna-krasna-/2075147100,"Krásná, okres Cheb",cheb,"rodinne-domy
",5 850 000 Kč za nemovitost,0251-NP00519,19.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,3,139 m2,295 m2,,1800 m2,,,,,,Plynovod,"Septik, Jímka",,Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,RE/MAX Air,1274.8666666666666,6,včetně kompletního právního servisu,,,Klidná část obce,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2347736,12.167996
7,7,7,7,https://www.sreality.cz/detail/prodej/dum/rodinny/valy-valy-pod-lesem/4079162956,"Pod Lesem, Valy",cheb,"rodinne-domy
",,57534,18.10.2022,Cihlová,Novostavba,Samostatný,Přízemní,1,190 m2,120 m2,114 m2,1967 m2,1777 m2,,,Dálkový vodovod,Jiné,,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1.0,1,Reality bez-starostí,2365.222222222222,7,"info v RK, včetně poplatků, včetně provize, cena k jednání","230V, 400V","132,0 kWh/m^2 za rok",Klidná část obce,2.0,2.0,,0.0,Informace o ceně na dotaz (k jednání),2021.0,Internet,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9787639,12.6545846
8,8,8,8,https://www.sreality.cz/detail/prodej/dum/rodinny/dolni-zandov-dolni-zandov-/3525752652,"Dolní Žandov, okres Cheb",cheb,"rodinne-domy
",,57602,18.10.2022,Dřevěná,Novostavba,Samostatný,Patrový,,77 m2,125 m2,,1010 m2,933 m2,,,Dálkový vodovod,,Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,1,Reality bez-starostí,896.5,8,"info v RK, včetně DPH, včetně poplatků, včetně provize, včetně právního servisu, cena k jednání","230V, 400V","126,0 kWh/m^2 za rok",,,,,,Informace o ceně na dotaz (k jednání),2017.0,"Internet, Kabelové rozvody",Zobrazit průkaz energetické náročnosti budovy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.0179426,12.5510087
9,9,9,9,https://www.sreality.cz/detail/prodej/dum/rodinny/frantiskovy-lazne-dolni-lomany-ceska/1174112860,"Česká, Františkovy Lázně - Dolní Lomany",cheb,"rodinne-domy
",,0011022,19.10.2022,Cihlová,Před rekonstrukcí,,Patrový,2 včetně 1 podzemního,,250 m2,,479 m2,,,,Dálkový vodovod,,Plynovod,Veřejná kanalizace,,Asfaltová,Třída G - Mimořádně nehospodárná,,,Pragster Reality,593.4666666666667,9,,"230V, 400V",,,,,,,Informace o ceně na dotaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.124633,12.3432136
