,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Plocha podlahová,Terasa,Sklep,Parkování,Rok rekonstrukce,Voda,Topení,Odpad,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Výtah,companyName,proximityIndex,Index,Lodžie,Vybavení,Datum nastěhování,Plocha zastavěná,Balkón,Typ bytu,Garáž,Rok kolaudace,Telekomunikace,Ukazatel energetické náročnosti budovy,Průkaz energetické náročnosti budovy,Plocha zahrady,Zlevněno,Původní cena,Náklady na bydlení,Převod do OV,Plyn,Datum prohlídky,ID,Cena
0,"Částkova, Plzeň - Východní Předměstí",8 990 000 Kč za nemovitost,Cena k jednání,047,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží,140 m2,110 m2,6 m2,1,1,2020,Dálkový vodovod,Ústřední plynové,Veřejná kanalizace,"230V, 400V","Vlak, Dálnice, Silnice, MHD",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,0,Tode realitní kancelář,439.57894736842104,0,,,,,,,,,,,,,,,,,,,,
1,"Čujkovova, Ostrava - Zábřeh",2 490 000 Kč za nemovitost,Cena vč. provize a veškerých právních služeb,813730,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,1. podlaží z celkem 14 včetně 1 podzemního,62 m2,,,1,80,2021,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Silnice, MHD, Autobus",,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,708.6,1,1,Částečně,,,,,,,,,,,,,,,,,,
2,"Výškovická, Ostrava - Zábřeh",3 640 000 Kč za nemovitost,+ provize RK,814269,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,11. podlaží z celkem 12 včetně 1 podzemního,72 m2,,,1,2,2022,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Silnice, MHD",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,630.45,2,,Částečně,,,,,,,,,,,,,,,,,,
3,"Václava Košaře, Ostrava - Dubina",1 990 000 Kč za nemovitost,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,814333,Včera,Panelová,Dobrý,Družstevní,Klidná část obce,2. podlaží z celkem 5 včetně 1 podzemního,69 m2,,,,,,Dálkový vodovod,Ústřední dálkové,,,MHD,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,970.75,3,1,0,,,,,,,,,,,,,,,,,,
4,"Pavlovova, Ostrava - Zábřeh",1 860 000 Kč za nemovitost,Cena je uvedena včetně právních služeb a provize. V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,813468,Včera,Panelová,Po rekonstrukci,Osobní,Rušná část obce,11. podlaží z celkem 17 včetně 1 podzemního,38 m2,,,,50,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,721.4,4,,0,,,,,,,,,,,,,,,,,,
5,"U Plynárny, Praha 4 - Michle",5 248 898 Kč za nemovitost,,BKC.6.1,Dnes,Cihlová,Ve výstavbě,Osobní,,7. podlaží z celkem 10,37 m2,37 m2,,1,,,,,,,,,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,1,1,JRD Development s.r.o.,972.952380952381,5,,,30.06.2023,,,,,,,,,,,,,,,,,
6,"Čenětická, Praha 4 - Chodov",5 969 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",SKY223m?,Včera,Panelová,Po rekonstrukci,Osobní,Centrum obce,2. podlaží z celkem 10 včetně 1 podzemního,49 m2,49 m2,,,1,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,892.8095238095239,6,,,,49 m2,,,,,,,,,,,,,,,,
7,"Na výšinách, Praha 7 - Bubeneč",21 053 000 Kč za nemovitost,"Prodává přímý majitel, neplatíte provizi!",NAV62,Včera,Cihlová,Po rekonstrukci,Osobní,Centrum obce,6. podlaží z celkem 6,109 m2,109 m2,,3 m2,,,,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,1,PSN s.r.o.,510.35,7,,,,118 m2,6 m2,Mezonet,,,,,,,,,,,,,,
8,"Ovesná, Hostivice",9 200 000 Kč za nemovitost,"včetně provize, včetně právního servisu",14421684,Dnes,Cihlová,Novostavba,Osobní,Klidná část obce,2. podlaží z celkem 5 včetně 2 podzemních,80 m2,76 m2,,,1,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,4fin Reality Better together Praha - Opletalova,2030.1052631578948,8,,Částečně,,,4 m2,,1,2020,"Internet, Kabelové rozvody, Ostatní","92,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,
9,"Nádražní, Praha - Praha 5",15 986 803 Kč za nemovitost,,LHVR-123,Dnes,Smíšená,Ve výstavbě,Osobní,,2. podlaží,85 m2,90 m2,,,,,,,,,,,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,1,Trigema a.s.,1045.1904761904761,9,8 m2,,,,,,,2023,,"67,0 kWh/m^2 za rok",,,,,,,,,,
