,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita
0,"Kojetická, Neratovice",3 700 000 Kč za nemovitost,N95622,Dnes,Panelová,Velmi dobrý,Osobní,Sídliště,9. podlaží z celkem 12 včetně 1 podzemního,51 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,0,0,1,NEXT REALITY HAPPY REAL,456.8235294117647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Navigátorů, Praha 6 - Liboc",12 750 000 Kč za nemovitost,10664,Dnes,Panelová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží z celkem 4,103 m2,2 m2,,Dálkový vodovod,,230V,"Vlak, Dálnice, MHD, Autobus",,Třída E - Nehospodárná,,,,,Molík reality,978.55,1,7 m2,Veřejná kanalizace,"Internet, Satelit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Olgy Havlové, Praha 3 - Žižkov",17 500 000 Kč za nemovitost,207589,Dnes,Cihlová,Velmi dobrý,Osobní,Klidná část obce,4. podlaží z celkem 4 včetně 1 podzemního,125 m2,2 m2,,,Ústřední dálkové,230V,"Silnice, MHD, Autobus",,Třída B - Velmi úsporná,,1,Částečně,1,Bidli,722.8571428571429,2,,Veřejná kanalizace,,125 m2,19 m2,1,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Studentská, Praha 6 - Dejvice",4 190 000 Kč za nemovitost,212774,Dnes,Cihlová,V rekonstrukci,Osobní,Centrum obce,5. podlaží z celkem 5 včetně 1 podzemního,20 m2,1 m2,,Dálkový vodovod,Ústřední plynové,230V,"MHD, Autobus",,,,,0,1,Bidli,629.4,3,,Veřejná kanalizace,"Internet, Kabelová televize, Kabelové rozvody",20 m2,,,2023,Včetně provize a pravního servisu,1,2022,,,,,,,,,,,,,,,,,,,,,,,,,
4,"třída Míru, Pardubice - Zelené Předměstí",8 957 000 Kč za nemovitost,00600,Dnes,Cihlová,Velmi dobrý,Osobní,Centrum obce,5. podlaží,97 m2,2 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,,1,Realitní tým Martina Nesládka,278.8888888888889,4,,Veřejná kanalizace,"Telefon, Internet",,,,1990,,,,13 m2,,,,,,,,,,,,,,,,,,,,,,,,
5,"Hněvkovského, Praha 4 - Chodov",5 795 000 Kč za nemovitost,00598,Dnes,Panelová,Velmi dobrý,Družstevní,,2. podlaží,60 m2,1 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,0,,Realitní tým Martina Nesládka,789.7619047619048,5,,Veřejná kanalizace,,60 m2,,,,včetně provize,,,3 m2,Ne,Plynovod,"114,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
6,"Bachmačská, Kolín - Kolín II",,00012,Dnes,Cihlová,Před rekonstrukcí,Osobní,,2. podlaží z celkem 4,58 m2,4 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",,Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,,,Swiss Reality s.r.o.,511.88235294117646,6,,Veřejná kanalizace,,58 m2,,,,včetně provize,,,,,Plynovod,"223,0 kWh/m^2 za rok",3 427 000 Kč za nemovitost,3 673 000 Kč,,,,,,,,,,,,,,,,,,,
7,"Družstevnická, Havířov - Podlesí",1 590 000 Kč za nemovitost,44015,Dnes,Panelová,Velmi dobrý,Družstevní,,5. podlaží,53 m2,1,Ihned,,Ústřední dálkové,,,,Třída C - Úsporná,Zobrazit průkaz energetické náročnosti budovy,,,,"Broker Consulting, a.s.",657.8235294117648,7,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,
8,"Ciolkovského, Praha 6 - Ruzyně",4 590 000 Kč za nemovitost,809,Dnes,Panelová,Po rekonstrukci,Osobní,Sídliště,6. podlaží z celkem 13,47 m2,,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD",Asfaltová,Třída C - Úsporná,,,0,1,Indra & Světlík Reality,1005.95,8,,Veřejná kanalizace,Internet,47 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
9,"Pardubice - Dražkovice, okres Pardubice",7 099 000 Kč za nemovitost,N13042,Dnes,Cihlová,Novostavba,Osobní,Klidná část obce,1. podlaží z celkem 2,95 m2,,27.03.2023,Dálkový vodovod,"Lokální plynové, Podlahové",230V,"Dálnice, Silnice, MHD, Autobus",,Třída B - Velmi úsporná,,,0,0,Sterling reality,1679.2222222222222,9,,,"Telefon, Internet, Kabelová televize",85 m2,10 m2,,,"cena včetně advokátního servisu a provize RK; v kupní ceně je kuchyňská linka za 90.000,-Kč a 2x PS",1,,,,Plynovod,,,,,165 m2,,,,,,,,,,,,,,,,,
