,link,location,district,HouseType,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Poloha domu,Typ domu,Podlaží,Plocha zastavěná,Užitná plocha,Plocha podlahová,Plocha pozemku,Plocha zahrady,Sklep,Datum nastěhování,Voda,Topení,Plyn,Odpad,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Vybavení,companyName,proximityIndex,Index,Poznámka k ceně,Elektřina,Ukazatel energetické náročnosti budovy,Umístění objektu,Parkování,Garáž,Rok rekonstrukce,Výtah,Cena,Rok kolaudace,Telekomunikace,Průkaz energetické náročnosti budovy,Bazén,Počet bytů,ID,Náklady na bydlení,Zlevněno,Původní cena,Plocha bazénu,Výška stropu,Stav,Půdní vestavba,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Datum prohlídky,Datum zahájení prodeje,Minimální kupní cena,Termín 1. prohlídky,Termín 2. prohlídky,Datum ukončení výstavby,Datum prohlídky do
0,https://www.sreality.cz/detail/prodej/dum/rodinny/as-as-majakovskeho/1143850572,"Majakovského, Aš",cheb,"rodinne-domy
",4 800 000 Kč za nemovitost,1373,Včera,Cihlová,Dobrý,Řadový,Patrový,3,44 m2,180 m2,130 m2,180 m2,136 m2,1,Ihned,Dálkový vodovod,Lokální plynové,Plynovod,Veřejná kanalizace,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,Částečně,TOP REALITY,466.73333333333335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.sreality.cz/detail/prodej/dum/rodinny/luby-dolni-luby-/4147755356,"Luby - Dolní Luby, okres Cheb",cheb,"rodinne-domy
",4 990 000 Kč za nemovitost,00219,Včera,Cihlová,Velmi dobrý,Samostatný,Patrový,,117 m2,158 m2,,1401 m2,,1,,"Místní zdroj, Studna",Lokální tuhá paliva,Individuální,Jímka,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,WOW reality,1775.0,1,"včetně provize, včetně právního servisu","230V, 400V","58,4 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.sreality.cz/detail/prodej/dum/rodinny/ovesne-kladruby-ovesne-kladruby-/275785548,"Ovesné Kladruby, okres Cheb",cheb,"rodinne-domy
",1 199 000 Kč za nemovitost,00522,21.10.2022,Cihlová,Před rekonstrukcí,Řadový,Patrový,2,87 m2,225 m2,160 m2,785 m2,633 m2,,,Studna,Lokální tuhá paliva,,Septik,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,Personal Reality s.r.o,2313.0,2,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",400V,,Klidná část obce,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.sreality.cz/detail/prodej/dum/rodinny/luby-luby-petra-bezruce/2112174940,"Petra Bezruče, Luby",cheb,"rodinne-domy
",7 400 000 Kč za nemovitost,00473,21.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,3 včetně 1 podzemního,,341 m2,,381 m2,260 m2,1,,Dálkový vodovod,"Lokální plynové, Ústřední plynové",Plynovod,Veřejná kanalizace,"Vlak, Dálnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,Znalecká a poradenská kancelář s.r.o.,763.5384615384615,3,"Garantujeme roční výnos 600.000, - Kč",230V,,Okraj obce,1,,2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.sreality.cz/detail/prodej/dum/rodinny/dolni-zandov-uboci-/3171592012,"Dolní Žandov - Úbočí, okres Cheb",cheb,"rodinne-domy
",6 900 000 Kč za nemovitost (k jednání),N10052,20.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,650 m2,180 m2,180 m2,1893 m2,,1,,Místní zdroj,"Ústřední tuhá paliva, Ústřední elektrické",,Jímka,Autobus,,Třída G - Mimořádně nehospodárná,,,iRealitka.cz,1976.0,4,Včetně provize a právního servisu. Cena k jednání.,"230V, 400V",,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.sreality.cz/detail/prodej/dum/rodinny/liba-liba-/2559104588,"Libá, okres Cheb",cheb,"rodinne-domy
",3 638 000 Kč za nemovitost,992/RZ/8,21.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,3,76 m2,245 m2,,610 m2,396 m2,,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Finpos realitní kancelář s.r.o.,2216.4166666666665,5,,"230V, 400V",,Klidná část obce,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.sreality.cz/detail/prodej/dum/rodinny/krasna-krasna-/2075147100,"Krásná, okres Cheb",cheb,"rodinne-domy
",5 850 000 Kč za nemovitost,0251-NP00519,19.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,3,139 m2,295 m2,,1800 m2,,,,,,Plynovod,"Septik, Jímka",,Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,RE/MAX Air,1274.8666666666666,6,včetně kompletního právního servisu,,,Klidná část obce,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.sreality.cz/detail/prodej/dum/rodinny/valy-valy-pod-lesem/4079162956,"Pod Lesem, Valy",cheb,"rodinne-domy
",,57534,18.10.2022,Cihlová,Novostavba,Samostatný,Přízemní,1,190 m2,120 m2,114 m2,1967 m2,1777 m2,,,Dálkový vodovod,Jiné,,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,1,1,Reality bez-starostí,2365.222222222222,7,"info v RK, včetně poplatků, včetně provize, cena k jednání","230V, 400V","132,0 kWh/m^2 za rok",Klidná část obce,2,2,,0,Informace o ceně na dotaz (k jednání),2021,Internet,Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.sreality.cz/detail/prodej/dum/rodinny/dolni-zandov-dolni-zandov-/3525752652,"Dolní Žandov, okres Cheb",cheb,"rodinne-domy
",,57602,18.10.2022,Dřevěná,Novostavba,Samostatný,Patrový,,77 m2,125 m2,,1010 m2,933 m2,,,Dálkový vodovod,,Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,1,Reality bez-starostí,896.5,8,"info v RK, včetně DPH, včetně poplatků, včetně provize, včetně právního servisu, cena k jednání","230V, 400V","126,0 kWh/m^2 za rok",,,,,,Informace o ceně na dotaz (k jednání),2017,"Internet, Kabelové rozvody",Zobrazit průkaz energetické náročnosti budovy,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.sreality.cz/detail/prodej/dum/rodinny/frantiskovy-lazne-dolni-lomany-ceska/1174112860,"Česká, Františkovy Lázně - Dolní Lomany",cheb,"rodinne-domy
",,0011022,19.10.2022,Cihlová,Před rekonstrukcí,,Patrový,2 včetně 1 podzemního,,250 m2,,479 m2,,,,Dálkový vodovod,,Plynovod,Veřejná kanalizace,,Asfaltová,Třída G - Mimořádně nehospodárná,,,Pragster Reality,593.4666666666667,9,,"230V, 400V",,,,,,,Informace o ceně na dotaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
